outcome_voted,control_group,treat_civic,treat_hawthorne,treat_self,treat_neighbors,sex,age,g2000,g2002,median_income,p2004,democrat
1,0,0,0,0,1,male,51,1,1,50658,1,0
1,1,0,0,0,0,female,50,1,1,63341,1,0
1,1,0,0,0,0,female,55,1,1,46822,0,1
0,1,0,0,0,0,female,52,1,1,44084,0,1
0,0,0,0,0,1,female,38,0,0,43838,0,0
0,1,0,0,0,0,male,38,1,1,41214,1,0
0,1,0,0,0,0,male,52,1,1,85920,1,1
1,0,0,1,0,0,female,61,1,1,61723,1,0
0,0,0,1,0,0,male,48,1,1,57969,0,0
1,0,0,1,0,0,male,43,1,1,64855,0,0
0,1,0,0,0,0,female,45,1,1,53337,0,0
0,0,0,0,0,1,female,62,1,1,85885,0,0
0,0,0,0,1,0,female,44,1,1,55625,1,0
0,0,0,1,0,0,female,52,1,1,38523,0,0
0,1,0,0,0,0,female,39,1,1,52465,0,1
0,1,0,0,0,0,male,26,0,0,64245,0,0
0,1,0,0,0,0,female,59,1,1,76342,1,0
0,1,0,0,0,0,male,51,0,0,37394,0,0
1,0,0,0,1,0,male,40,1,1,44453,1,0
0,1,0,0,0,0,male,42,1,1,52579,0,0
0,1,0,0,0,0,male,49,1,1,89614,0,0
0,1,0,0,0,0,female,24,0,1,71956,0,0
0,0,0,0,0,1,female,50,1,1,84858,0,1
1,1,0,0,0,0,male,51,1,1,64212,0,0
0,1,0,0,0,0,female,74,1,1,52805,1,0
0,1,0,0,0,0,male,65,1,1,41214,1,1
1,0,0,0,1,0,male,65,1,1,68383,1,0
0,0,0,0,0,1,male,48,1,1,109413,1,0
0,1,0,0,0,0,male,47,1,1,109413,0,0
0,1,0,0,0,0,male,65,1,0,62039,0,0
0,0,1,0,0,0,female,61,1,1,53649,0,0
0,1,0,0,0,0,male,35,1,1,44688,1,0
0,1,0,0,0,0,male,59,1,0,53171,0,0
1,1,0,0,0,0,female,57,1,1,43881,0,0
0,1,0,0,0,0,male,37,1,1,79413,1,0
1,0,0,1,0,0,female,39,1,1,46554,1,0
0,1,0,0,0,0,female,41,0,1,74769,1,0
1,0,0,0,1,0,female,59,1,1,71528,1,0
1,1,0,0,0,0,female,50,1,1,96691,0,0
0,0,0,0,0,1,female,35,1,1,53402,0,0
0,1,0,0,0,0,female,61,1,1,64212,0,0
0,0,0,1,0,0,male,54,1,1,51109,0,0
0,0,1,0,0,0,male,46,1,1,50003,0,0
0,1,0,0,0,0,male,39,1,1,78049,1,0
1,1,0,0,0,0,female,49,1,1,59052,1,0
0,1,0,0,0,0,female,49,1,1,57473,0,0
0,1,0,0,0,0,male,46,1,1,35118,0,0
0,0,1,0,0,0,male,68,1,1,64212,0,1
0,1,0,0,0,0,male,63,1,1,47589,1,0
0,1,0,0,0,0,female,52,1,1,57473,1,0
0,1,0,0,0,0,female,23,0,0,59938,0,0
0,0,0,0,1,0,female,66,1,1,35644,0,0
0,1,0,0,0,0,male,75,1,1,57473,1,0
0,1,0,0,0,0,male,55,1,1,66576,0,1
0,1,0,0,0,0,female,24,0,0,72207,0,0
1,1,0,0,0,0,male,26,1,1,35118,0,1
1,0,0,0,1,0,female,49,1,1,52960,1,0
0,1,0,0,0,0,male,77,1,1,107095,0,0
0,1,0,0,0,0,female,58,1,1,66640,0,0
0,0,0,0,0,1,male,28,0,0,57473,1,0
0,1,0,0,0,0,female,46,1,1,33880,0,0
1,0,0,0,1,0,male,58,0,0,73460,1,0
0,1,0,0,0,0,male,50,1,1,63560,1,0
0,0,0,0,0,1,female,51,1,1,65413,0,0
0,0,0,0,0,1,male,82,1,0,38523,0,0
0,0,0,0,1,0,female,50,1,1,70184,1,1
0,1,0,0,0,0,male,49,1,1,58503,0,0
0,0,1,0,0,0,female,25,0,0,52366,0,1
0,0,0,0,1,0,male,73,0,0,43469,0,0
0,0,1,0,0,0,male,25,0,0,52366,1,0
1,0,0,0,0,1,male,55,1,1,65406,0,0
0,1,0,0,0,0,male,49,1,1,41648,0,0
0,1,0,0,0,0,male,50,0,1,49547,1,0
0,1,0,0,0,0,male,29,1,1,57664,0,0
0,0,0,1,0,0,female,61,1,1,62350,1,0
1,0,0,0,1,0,male,71,1,1,51288,0,0
1,1,0,0,0,0,male,50,1,1,45888,1,0
1,1,0,0,0,0,female,83,1,0,40559,0,1
0,0,0,0,0,1,male,63,1,1,80809,0,0
0,1,0,0,0,0,female,60,0,0,55550,0,0
1,1,0,0,0,0,male,35,0,1,66229,1,0
0,1,0,0,0,0,male,73,1,1,38758,0,0
0,1,0,0,0,0,male,50,1,1,45773,0,0
0,0,1,0,0,0,male,86,1,0,51857,1,0
1,0,0,0,1,0,female,40,0,1,109413,1,0
0,0,0,0,1,0,male,23,0,0,48646,1,0
1,1,0,0,0,0,female,28,0,0,51288,0,1
0,1,0,0,0,0,male,22,0,0,81841,0,0
0,0,0,0,1,0,female,58,1,1,60994,0,1
1,0,0,1,0,0,male,68,1,1,54079,1,1
0,1,0,0,0,0,female,26,0,0,107095,0,1
1,0,0,0,0,1,male,45,1,1,38916,0,0
0,1,0,0,0,0,female,68,1,1,69868,0,0
0,0,0,0,0,1,female,57,0,1,60335,0,0
1,0,0,0,1,0,female,48,1,1,56426,1,0
0,0,1,0,0,0,male,27,0,0,57161,0,0
0,0,0,0,1,0,male,38,1,1,60749,1,0
0,1,0,0,0,0,male,24,0,0,32000,0,1
0,1,0,0,0,0,female,25,0,0,53402,0,0
0,1,0,0,0,0,female,58,1,1,78946,0,0
1,0,0,1,0,0,female,53,1,1,63693,0,0
0,0,1,0,0,0,male,54,1,1,76342,0,1
0,0,0,0,1,0,female,24,0,1,90405,1,0
0,1,0,0,0,0,female,43,1,0,43673,0,0
0,1,0,0,0,0,male,44,1,1,51959,1,0
0,1,0,0,0,0,male,57,1,0,48646,1,0
0,1,0,0,0,0,female,63,1,1,58719,0,0
0,1,0,0,0,0,female,82,1,1,31549,0,0
0,1,0,0,0,0,male,40,1,1,49834,1,0
1,0,0,0,0,1,male,49,1,1,63169,1,0
0,1,0,0,0,0,female,53,1,1,53660,0,0
0,1,0,0,0,0,female,50,1,0,65413,0,0
0,1,0,0,0,0,female,73,0,0,57161,1,1
1,1,0,0,0,0,female,69,1,1,63182,1,0
0,0,1,0,0,0,male,60,1,1,34012,0,0
0,0,1,0,0,0,male,62,1,1,61290,0,0
1,0,0,1,0,0,male,41,0,0,118146,0,0
0,1,0,0,0,0,female,23,0,0,68539,0,1
0,1,0,0,0,0,female,47,1,0,30773,1,1
1,1,0,0,0,0,female,46,1,1,76342,1,0
0,1,0,0,0,0,male,33,1,1,26155,1,0
0,0,1,0,0,0,male,46,1,1,57366,1,0
0,0,1,0,0,0,female,50,1,1,38324,1,1
0,1,0,0,0,0,female,50,1,1,97699,0,0
1,1,0,0,0,0,male,55,0,1,60335,1,0
0,1,0,0,0,0,male,27,1,1,42750,1,0
0,0,0,1,0,0,female,22,0,0,65390,0,0
0,1,0,0,0,0,female,26,0,0,76342,0,0
0,1,0,0,0,0,female,51,1,1,70230,0,0
0,0,0,0,0,1,female,25,0,0,72470,0,1
0,1,0,0,0,0,female,59,1,1,102422,1,0
0,1,0,0,0,0,female,64,1,1,107750,0,0
0,0,1,0,0,0,female,54,1,1,42688,0,0
0,1,0,0,0,0,female,61,1,1,40559,0,1
0,1,0,0,0,0,female,47,1,1,59938,1,0
1,1,0,0,0,0,male,23,0,0,67893,0,0
0,1,0,0,0,0,female,47,0,1,59938,1,0
0,0,1,0,0,0,female,51,1,1,31975,0,0
0,1,0,0,0,0,male,60,1,1,71736,1,0
1,0,0,0,1,0,male,48,1,1,44167,0,0
0,1,0,0,0,0,male,23,0,0,47589,0,0
0,1,0,0,0,0,male,78,1,1,49113,0,0
0,0,0,0,1,0,male,68,1,1,62039,0,0
1,0,0,0,1,0,male,51,1,1,47134,1,0
0,0,0,1,0,0,female,59,1,1,43895,0,0
1,1,0,0,0,0,male,34,1,0,60749,0,0
0,0,0,1,0,0,male,59,1,0,52805,1,0
0,1,0,0,0,0,male,65,1,1,61723,0,0
0,1,0,0,0,0,male,32,1,1,33037,1,0
0,0,0,1,0,0,male,64,0,0,50854,1,0
0,0,0,1,0,0,male,88,1,1,54120,0,0
1,1,0,0,0,0,male,65,1,1,63082,1,0
0,0,0,1,0,0,female,29,0,0,75580,0,0
0,1,0,0,0,0,female,33,1,0,68383,1,0
0,1,0,0,0,0,male,72,1,1,121141,0,0
0,0,1,0,0,0,female,37,1,1,67893,1,0
1,1,0,0,0,0,male,22,0,0,52345,0,0
1,0,0,1,0,0,female,33,0,1,54736,1,0
1,0,0,0,0,1,male,50,1,1,68383,1,0
0,1,0,0,0,0,female,24,0,0,74769,0,0
0,1,0,0,0,0,female,51,1,1,85333,0,0
0,1,0,0,0,0,male,32,1,1,39052,0,0
1,0,1,0,0,0,female,51,1,0,48676,0,1
0,1,0,0,0,0,female,46,1,1,46908,1,1
0,0,0,1,0,0,female,72,1,0,53351,0,1
0,1,0,0,0,0,female,59,1,1,47449,1,1
1,0,0,1,0,0,male,58,1,1,64891,0,0
1,0,0,0,0,1,male,55,1,1,61070,0,0
1,1,0,0,0,0,male,70,1,0,63693,1,0
0,1,0,0,0,0,female,56,1,1,49113,0,1
1,1,0,0,0,0,female,47,1,1,69630,1,0
0,1,0,0,0,0,female,83,1,1,44084,0,1
0,1,0,0,0,0,male,72,1,1,60126,1,0
0,0,0,1,0,0,female,36,1,0,67217,0,0
1,1,0,0,0,0,male,48,1,1,71956,1,0
0,1,0,0,0,0,female,38,1,1,118146,0,0
0,1,0,0,0,0,male,59,1,1,41719,0,0
1,0,0,0,0,1,male,43,0,1,66576,1,0
0,0,0,0,0,1,female,29,1,0,54628,1,0
0,0,0,1,0,0,male,43,1,1,53377,0,0
1,0,0,0,1,0,female,28,1,1,52254,1,0
0,1,0,0,0,0,female,42,1,1,63560,1,0
0,1,0,0,0,0,female,30,0,0,46554,0,0
0,0,0,0,0,1,female,60,1,1,61070,0,0
0,1,0,0,0,0,male,66,0,1,72951,1,0
0,1,0,0,0,0,male,55,1,1,54837,0,0
0,0,0,1,0,0,male,40,1,1,91497,0,0
0,1,0,0,0,0,female,39,1,0,55962,1,0
0,1,0,0,0,0,male,65,1,1,59211,0,0
1,0,0,1,0,0,female,60,1,1,47074,0,0
0,0,1,0,0,0,male,69,1,1,40559,0,0
0,1,0,0,0,0,female,82,1,1,33880,0,0
1,0,0,0,0,1,male,72,1,1,66640,0,0
1,1,0,0,0,0,female,51,0,1,109413,0,0
0,1,0,0,0,0,male,23,0,0,50514,0,1
1,0,0,0,0,1,female,65,1,1,71528,1,0
1,0,0,1,0,0,female,57,1,1,48081,1,0
0,0,0,1,0,0,male,65,1,0,43479,1,0
1,1,0,0,0,0,male,74,1,1,43458,1,0
1,1,0,0,0,0,male,58,1,1,43832,1,0
1,0,0,1,0,0,male,44,1,1,47083,0,0
0,1,0,0,0,0,male,71,1,1,63082,0,0
1,0,0,0,0,1,male,52,1,1,60335,1,1
0,0,0,0,0,1,male,24,0,0,72157,0,0
0,1,0,0,0,0,male,46,1,0,42113,1,0
0,1,0,0,0,0,male,60,1,1,42113,1,0
1,1,0,0,0,0,male,58,1,1,59211,1,0
0,0,0,0,0,1,female,37,1,1,95828,0,0
0,0,0,1,0,0,female,41,1,1,47134,1,0
1,0,0,0,0,1,male,43,1,1,43088,1,0
1,0,0,0,0,1,male,54,1,1,48097,1,0
0,0,0,0,0,1,male,42,0,0,40348,0,0
0,1,0,0,0,0,male,56,1,1,59938,1,1
0,1,0,0,0,0,male,60,1,1,60168,0,0
0,1,0,0,0,0,female,36,1,0,90405,0,0
0,1,0,0,0,0,male,54,1,0,52588,0,0
0,0,0,0,1,0,female,81,1,0,43458,1,0
0,0,1,0,0,0,male,55,1,1,59211,0,0
0,0,1,0,0,0,male,73,0,1,40777,1,0
0,1,0,0,0,0,female,55,1,1,60442,1,0
0,0,0,1,0,0,female,26,0,1,47067,0,0
1,1,0,0,0,0,female,64,1,1,71307,1,1
0,1,0,0,0,0,female,81,1,1,38758,0,1
1,0,0,0,0,1,female,37,1,1,52688,0,0
0,0,0,1,0,0,female,52,0,0,62039,1,1
0,1,0,0,0,0,male,35,1,0,51959,0,0
0,1,0,0,0,0,male,44,1,1,54837,0,0
0,0,0,0,1,0,male,59,1,1,47606,0,1
1,1,0,0,0,0,female,52,1,1,95694,1,1
1,0,1,0,0,0,female,55,1,1,65413,0,0
0,1,0,0,0,0,male,45,1,0,110434,1,0
1,1,0,0,0,0,male,60,1,1,71528,1,0
0,1,0,0,0,0,female,22,0,0,80809,0,1
0,0,1,0,0,0,female,57,1,1,48646,0,0
0,0,0,1,0,0,female,43,1,1,67893,0,0
1,1,0,0,0,0,male,45,1,1,51385,1,0
1,0,0,0,1,0,male,48,0,1,65413,1,0
1,1,0,0,0,0,male,64,1,1,36996,1,1
0,0,0,1,0,0,male,51,1,1,59211,1,0
1,1,0,0,0,0,female,42,0,1,51262,1,0
0,0,0,0,1,0,female,43,1,1,32181,0,0
0,0,0,0,1,0,female,66,1,1,71956,1,0
0,0,0,0,0,1,male,23,0,0,74570,0,0
1,1,0,0,0,0,male,52,1,1,64212,1,0
1,0,0,0,0,1,female,59,1,1,58117,0,0
0,1,0,0,0,0,female,61,1,1,68383,0,0
1,0,0,1,0,0,female,45,1,1,64891,1,0
0,1,0,0,0,0,male,43,1,0,59938,1,1
1,0,0,0,0,1,male,35,1,1,40493,0,0
0,1,0,0,0,0,female,81,1,1,40777,0,0
0,1,0,0,0,0,male,46,1,1,66646,0,0
0,1,0,0,0,0,female,50,1,1,42113,1,0
0,1,0,0,0,0,male,48,1,1,107095,1,0
0,0,0,0,1,0,male,60,1,1,44688,1,0
0,1,0,0,0,0,female,67,1,1,47134,1,0
0,1,0,0,0,0,female,47,1,1,36477,0,1
0,0,1,0,0,0,female,57,1,1,51288,0,0
0,1,0,0,0,0,female,56,1,1,63693,0,0
0,1,0,0,0,0,male,61,1,1,77596,0,0
1,1,0,0,0,0,female,67,1,1,48821,0,0
0,0,0,1,0,0,male,67,1,1,33953,1,0
1,1,0,0,0,0,female,43,1,1,53377,0,0
1,1,0,0,0,0,female,65,1,1,64891,0,0
1,0,1,0,0,0,male,52,1,1,65232,1,1
0,1,0,0,0,0,female,40,1,0,57473,1,0
1,1,0,0,0,0,female,43,1,1,68539,0,0
0,1,0,0,0,0,male,54,1,1,83616,0,0
0,0,0,0,1,0,male,55,1,1,42113,1,0
0,0,0,0,1,0,female,29,1,1,97699,0,0
1,1,0,0,0,0,female,64,0,0,51959,1,0
1,1,0,0,0,0,male,65,1,1,74570,0,0
1,1,0,0,0,0,female,47,1,1,44688,1,0
0,1,0,0,0,0,male,61,1,1,65232,1,0
1,1,0,0,0,0,male,59,1,1,56556,0,0
0,0,1,0,0,0,male,68,1,1,61070,1,0
0,1,0,0,0,0,male,62,1,1,62023,0,0
1,1,0,0,0,0,male,49,1,1,66646,1,0
0,0,0,0,0,1,female,50,0,0,51667,0,0
1,0,1,0,0,0,female,49,1,1,47074,0,0
1,1,0,0,0,0,female,88,1,1,35920,1,0
0,1,0,0,0,0,female,41,1,0,53843,0,0
0,0,0,0,1,0,male,67,1,0,37774,1,0
0,0,0,1,0,0,male,54,1,1,60168,0,0
1,0,0,0,1,0,male,39,0,1,57450,1,0
1,1,0,0,0,0,male,48,1,1,41719,1,0
1,1,0,0,0,0,male,41,1,1,70184,0,0
0,0,1,0,0,0,female,60,1,1,50854,1,0
0,1,0,0,0,0,male,40,1,0,58874,0,0
0,0,0,0,1,0,female,74,1,1,42750,0,0
0,0,0,0,1,0,male,55,1,1,42670,0,0
0,0,1,0,0,0,male,33,1,1,118146,1,0
0,0,1,0,0,0,male,54,1,1,67893,0,0
1,0,1,0,0,0,female,39,1,0,53597,1,0
1,0,0,1,0,0,female,85,1,1,35205,0,0
1,1,0,0,0,0,male,43,1,1,51109,0,0
0,1,0,0,0,0,female,65,0,1,51262,0,1
1,0,1,0,0,0,female,74,1,0,60972,1,0
0,0,0,0,1,0,female,47,1,1,75590,0,0
0,1,0,0,0,0,female,77,1,1,61439,0,0
0,0,0,0,1,0,male,57,1,0,138884,0,0
0,1,0,0,0,0,female,52,1,1,77596,1,0
0,0,1,0,0,0,female,27,0,0,72207,0,0
0,0,0,0,0,1,male,49,1,1,66576,0,0
1,1,0,0,0,0,male,58,1,0,51959,1,0
0,1,0,0,0,0,female,53,1,1,51054,0,1
0,1,0,0,0,0,male,57,1,1,79760,1,0
0,1,0,0,0,0,male,47,1,1,66576,0,0
1,0,0,0,1,0,female,51,1,1,67217,1,0
0,1,0,0,0,0,male,37,1,1,80809,0,0
0,1,0,0,0,0,female,68,1,1,47067,1,0
0,0,0,0,0,1,female,22,0,0,48646,1,1
1,0,0,0,1,0,female,65,1,1,71528,1,0
0,0,0,0,0,1,female,24,0,1,45773,1,0
0,1,0,0,0,0,female,51,1,1,75590,0,0
1,0,0,0,0,1,female,77,0,0,66229,1,0
0,1,0,0,0,0,male,52,1,1,121141,0,0
0,0,0,0,0,1,female,27,1,0,51217,0,0
1,1,0,0,0,0,female,56,1,1,63560,0,0
0,1,0,0,0,0,male,48,1,1,31975,0,0
0,1,0,0,0,0,female,47,0,0,52821,0,0
1,0,1,0,0,0,male,42,1,1,57644,1,0
0,1,0,0,0,0,female,55,1,0,41500,0,0
0,0,0,0,0,1,male,58,0,1,49306,1,0
1,1,0,0,0,0,male,46,0,1,72453,1,0
0,1,0,0,0,0,male,55,1,1,51250,0,0
1,0,0,1,0,0,male,64,1,0,52960,1,0
0,1,0,0,0,0,female,54,0,0,60126,0,0
0,1,0,0,0,0,female,79,1,1,50003,0,0
1,1,0,0,0,0,male,41,0,0,50000,0,0
0,0,0,1,0,0,female,65,1,1,65413,1,0
0,1,0,0,0,0,female,62,1,1,59464,0,0
0,1,0,0,0,0,male,57,1,1,57473,1,0
0,1,0,0,0,0,female,45,1,1,40574,1,0
0,0,0,0,1,0,female,34,1,1,82975,0,0
0,1,0,0,0,0,male,45,0,0,45773,0,0
0,0,1,0,0,0,male,43,1,0,61290,0,0
0,0,0,0,0,1,female,78,1,1,64855,0,0
0,0,0,1,0,0,male,70,0,1,42750,1,0
0,1,0,0,0,0,male,48,1,1,37778,0,0
1,0,0,1,0,0,female,33,1,1,63560,0,0
0,0,0,1,0,0,female,64,1,1,73460,0,1
0,1,0,0,0,0,male,43,1,1,47074,0,0
0,1,0,0,0,0,female,54,1,1,52708,1,1
1,1,0,0,0,0,male,65,1,1,49911,0,0
0,1,0,0,0,0,female,53,1,1,52777,1,1
1,0,0,1,0,0,female,54,1,1,67217,0,0
0,0,1,0,0,0,male,59,1,1,73460,0,0
0,0,1,0,0,0,male,65,1,1,53402,1,0
1,0,0,1,0,0,male,66,1,1,53454,1,0
1,1,0,0,0,0,female,50,1,1,76342,0,0
0,1,0,0,0,0,male,43,0,0,58874,1,0
0,0,0,0,0,1,male,52,1,1,54818,0,0
0,0,0,0,1,0,female,82,1,1,47074,0,0
0,1,0,0,0,0,female,47,1,1,51959,1,0
0,1,0,0,0,0,male,77,1,1,35920,0,0
0,1,0,0,0,0,male,24,0,0,68383,1,0
0,1,0,0,0,0,female,45,1,1,55625,0,1
1,0,1,0,0,0,male,58,1,1,52465,1,0
0,1,0,0,0,0,female,30,1,1,41214,0,0
1,1,0,0,0,0,female,34,1,0,59938,0,0
0,0,1,0,0,0,female,57,1,1,75705,1,0
1,1,0,0,0,0,female,69,1,1,45863,1,0
1,0,1,0,0,0,male,55,1,1,66640,0,1
1,1,0,0,0,0,female,59,1,1,56246,0,1
1,0,0,0,0,1,male,48,1,1,73460,0,0
0,0,1,0,0,0,male,42,0,0,41212,0,0
1,0,0,0,1,0,male,65,0,1,42750,1,0
1,0,0,1,0,0,male,56,1,1,44972,0,0
1,0,0,0,1,0,male,52,0,0,42760,1,1
1,0,0,1,0,0,female,76,1,1,42255,0,1
1,1,0,0,0,0,female,39,1,1,43895,0,0
0,0,0,0,0,1,female,26,0,1,45994,1,0
1,1,0,0,0,0,male,45,1,1,70184,0,0
0,1,0,0,0,0,male,81,1,1,40777,0,0
0,0,0,0,0,1,female,42,1,1,62986,0,0
0,1,0,0,0,0,female,69,1,1,51959,1,0
0,1,0,0,0,0,male,47,1,0,64212,1,0
0,1,0,0,0,0,female,49,1,1,120269,0,0
0,0,1,0,0,0,female,45,1,1,65413,0,0
1,0,0,0,0,1,male,69,1,1,81841,0,0
0,0,0,0,1,0,male,53,1,1,61321,1,0
0,1,0,0,0,0,male,47,1,1,109413,1,0
0,1,0,0,0,0,male,53,1,0,71307,0,0
1,1,0,0,0,0,female,29,0,1,51762,1,0
0,0,1,0,0,0,female,54,1,0,66229,0,0
1,1,0,0,0,0,female,47,1,1,44972,0,0
1,1,0,0,0,0,female,59,1,1,59000,0,0
0,1,0,0,0,0,female,58,1,0,58503,1,0
0,1,0,0,0,0,male,55,1,1,53377,1,0
0,0,0,1,0,0,male,30,1,0,87719,0,0
1,0,1,0,0,0,male,50,0,1,70230,1,0
1,1,0,0,0,0,female,23,0,0,62023,0,0
1,1,0,0,0,0,male,62,1,1,53872,0,0
1,1,0,0,0,0,male,47,1,1,41648,0,0
0,0,0,0,1,0,male,36,1,0,51857,0,0
0,0,0,0,0,1,male,23,0,0,60846,0,1
0,1,0,0,0,0,female,66,1,1,41719,0,1
0,1,0,0,0,0,female,34,1,1,59211,1,0
0,0,1,0,0,0,female,46,1,1,76342,1,0
0,0,0,0,1,0,male,67,1,1,49113,0,0
0,1,0,0,0,0,female,74,1,1,68383,0,0
0,0,0,1,0,0,male,50,1,1,64212,1,0
0,1,0,0,0,0,female,70,1,0,66229,0,0
0,1,0,0,0,0,male,54,1,1,45773,0,0
0,1,0,0,0,0,male,22,0,0,64809,0,1
0,1,0,0,0,0,male,46,1,1,76011,0,0
0,0,0,1,0,0,male,53,1,1,49113,0,0
0,1,0,0,0,0,male,56,1,1,71528,0,0
1,0,1,0,0,0,female,67,1,1,57450,0,0
0,1,0,0,0,0,male,52,1,1,41006,0,0
1,1,0,0,0,0,male,68,0,1,48539,0,0
1,1,0,0,0,0,male,49,1,1,60442,0,0
1,0,0,0,0,1,male,60,1,1,67333,0,0
1,0,0,0,0,1,male,45,1,1,50514,0,0
1,1,0,0,0,0,male,61,1,1,71307,0,0
0,0,1,0,0,0,male,67,1,1,43458,0,1
0,0,0,0,0,1,female,63,1,0,53402,0,0
0,0,0,1,0,0,female,27,1,0,55342,0,0
0,1,0,0,0,0,male,51,1,1,95828,0,0
0,1,0,0,0,0,female,48,1,1,62023,0,0
1,1,0,0,0,0,female,72,1,1,38940,0,0
0,0,0,0,0,1,male,52,1,1,65390,1,0
1,0,1,0,0,0,male,41,1,1,110434,1,0
0,0,0,0,0,1,male,23,0,0,80809,0,0
0,1,0,0,0,0,male,54,1,1,42463,0,0
0,1,0,0,0,0,male,51,1,1,47957,1,0
1,0,0,0,0,1,male,45,1,1,95828,0,0
0,1,0,0,0,0,male,62,1,1,51452,1,0
0,0,0,1,0,0,female,51,1,1,54628,0,1
0,1,0,0,0,0,male,86,1,1,60335,0,0
0,1,0,0,0,0,female,46,1,1,66229,1,0
0,0,0,1,0,0,female,57,1,1,59938,1,0
1,0,0,0,1,0,male,38,1,1,73460,0,0
1,1,0,0,0,0,male,52,1,1,76011,0,0
0,1,0,0,0,0,female,30,1,0,68929,0,0
0,0,0,1,0,0,male,27,1,1,79413,0,0
0,1,0,0,0,0,female,41,1,0,53660,0,0
0,1,0,0,0,0,male,48,1,1,50633,0,0
1,0,0,0,0,1,female,50,1,1,60168,1,0
0,1,0,0,0,0,female,23,0,0,79760,0,0
1,1,0,0,0,0,male,42,1,1,39792,0,0
0,1,0,0,0,0,male,22,0,0,57664,0,0
0,0,0,0,0,1,male,23,0,0,68383,0,0
0,1,0,0,0,0,male,53,1,1,60749,0,0
0,0,0,0,1,0,male,44,1,1,41719,0,0
0,0,0,0,1,0,male,59,0,1,38458,0,0
